iter	RMSE
0	0.8296392266
1	0.8242554208
2	0.8189412051
3	0.8138532141
4	0.8089473199
5	0.8043179176
6	0.7996140272
7	0.7950631279
8	0.7906155956
9	0.7864057509
10	0.7824494413
11	0.7783076137
12	0.774599914
13	0.7705882738
14	0.7668741457
15	0.7630725783
16	0.7595936372
17	0.7559899245
18	0.7524719506
19	0.7490681036
20	0.7459646848
21	0.7426129867
22	0.7396132765
23	0.7366138209
24	0.7336386354
25	0.7306489606
26	0.7278876792
27	0.7251213746
28	0.7225346664
29	0.7200874608
30	0.7177171426
31	0.7152292111
32	0.7129185002
33	0.7104645909
34	0.7080896385
35	0.7058408989
36	0.7037248496
37	0.701507706
38	0.6993409714
39	0.6972333227
40	0.6952066699
41	0.6931316903
42	0.6910888666
43	0.6890676666
44	0.687342619
45	0.6855479738
46	0.6839499937
47	0.6821565566
48	0.6804318653
49	0.6788967038
50	0.677202512
51	0.675503879
52	0.6738361412
53	0.6724622965
54	0.6709707374
55	0.6695660482
56	0.6681054047
57	0.6667744681
58	0.6652730323
59	0.663800338
60	0.6625619307
61	0.661400469
62	0.6602659438
63	0.6589463611
64	0.657769691
65	0.6566814035
66	0.6555401396
67	0.6543689313
68	0.6533004594
69	0.6521682003
70	0.6509323668
71	0.6495121553
72	0.6484548453
73	0.6473345051
74	0.6462749831
75	0.6451619939
76	0.6441675846
77	0.6432440536
78	0.6422982248
79	0.6414075419
80	0.6401954491
81	0.6389438007
82	0.6380774108
83	0.6370742274
84	0.6361898857
85	0.6352254945
86	0.634264243
87	0.6332932347
88	0.6324105642
89	0.6316106032
90	0.6308323504
91	0.630029621
92	0.6290310329
93	0.6280111323
94	0.6272002135
95	0.6263277536
96	0.6254432354
97	0.6247860592
98	0.6240504548
99	0.6232532613
100	0.6224318202
101	0.6215074908
102	0.6208728615
103	0.6201360841
104	0.6192804825
105	0.6186427774
106	0.6179613797
107	0.6172474136
108	0.6165642558
109	0.6159463976
110	0.6154510387
111	0.6149492577
112	0.6143511997
113	0.6137554587
114	0.6132499502
115	0.6127061459
116	0.6120534319
117	0.6114567924
118	0.6105670191
119	0.6099757859
120	0.609471416
121	0.6090438482
122	0.6085222463
123	0.6079033597
124	0.607213156
125	0.6067045325
126	0.6061813567
127	0.6055070211
128	0.6049558346
129	0.6044491595
130	0.6040602974
131	0.6035849053
132	0.6028722044
133	0.6023132944
134	0.6018142788
135	0.6012301932
136	0.6007550331
137	0.6002181085
138	0.599717438
139	0.5992412877
140	0.598759697
141	0.5983021294
142	0.5977675712
143	0.5972085316
144	0.5967904202
145	0.5963078646
146	0.5958991037
147	0.5953514108
148	0.5950718275
149	0.5946606895
150	0.5942748754
151	0.5937088929
152	0.5930777543
153	0.5926648661
154	0.5923078911
155	0.5919973596
156	0.5914863855
157	0.5910706383
158	0.5905450082
159	0.5902365933
160	0.5899668202
161	0.5895544328
162	0.5891016036
163	0.5887796933
164	0.5882094247
165	0.5878990636
166	0.5875939913
167	0.5871313243
168	0.5868270381
169	0.5864910721
170	0.5860790488
171	0.5857887873
172	0.5855091128
173	0.5851284273
174	0.5847918414
175	0.5844712389
176	0.5841425164
177	0.5838267205
178	0.583578593
179	0.583276211
180	0.5829480836
181	0.5826462373
182	0.5823158956
183	0.5820561946
184	0.5817783332
185	0.5815474623
186	0.5813707642
187	0.5811144824
188	0.5807741711
189	0.5804867962
190	0.5802576656
191	0.5799771818
192	0.579783437
193	0.5794994804
194	0.579303231
195	0.5790742473
196	0.5788208097
197	0.5786407024
198	0.5783496459
199	0.5781644004
200	0.5779251695
201	0.5777224809
202	0.5775900273
203	0.577303414
204	0.5770739571
205	0.5767725934
206	0.5765206365
207	0.576030365
208	0.5756798442
209	0.5754163815
210	0.5751503947
211	0.5749010929
212	0.5746815284
213	0.57442414
214	0.5742059931
215	0.5739912189
216	0.5737690993
217	0.5735106915
218	0.5732661108
219	0.5730802229
220	0.5728470585
221	0.5726099597
222	0.5724525683
223	0.5721889913
224	0.5719642044
225	0.5717902119
226	0.5715502822
227	0.5713354229
228	0.5711485618
229	0.5709900203
230	0.5707389504
231	0.5704965909
232	0.5702233273
233	0.5700095844
234	0.5698120701
235	0.5695372321
236	0.5693308666
237	0.5690437995
238	0.5688133323
239	0.5686071873
240	0.5684583576
241	0.5682086017
242	0.5679485742
243	0.5677889311
244	0.5675676811
245	0.5672967562
246	0.566931145
247	0.5666881692
248	0.56648147
249	0.5662746162
250	0.5660545974
251	0.5657125812
252	0.565561691
253	0.5653608044
254	0.5651877477
255	0.5650010877
256	0.5647896347
257	0.5646218193
258	0.5643312053
259	0.5642078953
260	0.5640566982
261	0.5636682513
262	0.5634213083
263	0.563225363
264	0.5629525103
265	0.5627756981
266	0.5622718603
267	0.5620859996
268	0.5618729882
269	0.5617011245
270	0.5614521134
271	0.5610973598
272	0.5608377292
273	0.5606752509
274	0.5604895699
275	0.5602514282
276	0.5600096586
277	0.5598276708
278	0.5596336618
279	0.5594320006
280	0.5590430941
281	0.5588786542
282	0.5587173615
283	0.5585716913
284	0.558389903
285	0.5582276101
286	0.5580071937
287	0.5576505463
288	0.5573977139
289	0.557189909
290	0.5569833036
291	0.5566732579
292	0.5565152868
293	0.5563243295
294	0.5561641698
295	0.5560072713
296	0.5558613334
297	0.55560777
298	0.5554631813
299	0.5552674204
300	0.5550901421
301	0.5549468537
302	0.5547296491
303	0.5544316498
304	0.554051802
305	0.5538050655
306	0.5536039012
307	0.5534538986
308	0.5532896482
309	0.5531286203
310	0.5529646453
311	0.5528256434
312	0.5526598227
313	0.5525210525
314	0.5524110781
315	0.5522770174
316	0.5521158892
317	0.5519766927
318	0.55178375
319	0.5516523469
320	0.55154591
321	0.5514212995
322	0.5512776653
323	0.551085057
324	0.5509300898
325	0.5507657935
326	0.5505550781
327	0.550369165
328	0.5502491927
329	0.5500859761
330	0.5499371871
331	0.5497332088
332	0.5495803197
333	0.5493938502
334	0.5491201878
335	0.5489290678
336	0.5487790159
337	0.5486449782
338	0.5485370485
339	0.5483987347
340	0.5481728096
341	0.5480023979
342	0.5478311974
343	0.5477222625
344	0.5475860402
345	0.5474670898
346	0.547310913
347	0.5471592469
348	0.5469643959
349	0.5468488022
350	0.5467241923
351	0.5465988263
352	0.5464608312
353	0.5463416086
354	0.5461995809
355	0.5460803165
356	0.5459479444
357	0.545812212
358	0.5457123837
359	0.5455893397
360	0.5454454122
361	0.5452473654
362	0.5451063204
363	0.5447065606
364	0.5445855066
365	0.5442953432
366	0.5441562671
367	0.5440330815
368	0.5438659056
369	0.5437480249
370	0.5435622287
371	0.5432243104
372	0.5430672525
373	0.5429176457
374	0.5427340931
375	0.5426049958
376	0.5424895706
377	0.5423788542
378	0.5422192552
379	0.5421231631
380	0.5420108265
381	0.541897391
382	0.5417527062
383	0.5416169059
384	0.5414448172
385	0.5413349811
386	0.5411428562
387	0.5409884201
388	0.5408631543
389	0.5407175052
390	0.5405995466
391	0.5404838541
392	0.540370112
393	0.540253308
394	0.5401425344
395	0.5400190955
396	0.5398841047
397	0.5397643172
398	0.5396630987
399	0.5394164358
400	0.5393103156
401	0.5392085699
402	0.5390988671
403	0.5390067275
404	0.5388793601
405	0.5387865512
406	0.5386658563
407	0.5385531365
408	0.5384175062
409	0.5382750315
410	0.5381494157
411	0.5380119902
412	0.5378972961
413	0.5376692094
414	0.5374971689
415	0.5373854491
416	0.5373033366
417	0.5369905099
418	0.53682719
419	0.5367182101
420	0.5366317566
421	0.5365007697
422	0.5362726806
423	0.5361620092
424	0.5360652714
425	0.5358189082
426	0.5357285933
427	0.5356336275
428	0.5355309052
429	0.5354370048
430	0.5353298409
431	0.5350477315
432	0.534949813
433	0.5348466347
434	0.5347491048
435	0.534631499
436	0.53449015
437	0.5344047318
438	0.5342737449
439	0.5340893726
440	0.533978332
441	0.5338679448
442	0.5337532934
443	0.5335114734
444	0.5334320744
445	0.5333211516
446	0.5332233252
447	0.5330745528
448	0.5329935672
449	0.5328886356
450	0.5327980076
451	0.532726615
452	0.5325774923
453	0.5324745694
454	0.5323665653
455	0.5322429543
456	0.5320854807
457	0.5319789872
458	0.5318590914
459	0.5317854921
460	0.5316361341
461	0.5315616151
462	0.5313504456
463	0.5311505152
464	0.5310299781
465	0.5308988461
466	0.5307989992
467	0.530662893
468	0.5306081843
469	0.5305043781
470	0.5304155777
471	0.5303296799
472	0.5301815896
473	0.5299463709
474	0.529877134
475	0.5297238368
476	0.5296264242
477	0.5294805604
478	0.5293499169
479	0.5292629115
480	0.5291575566
481	0.5290016937
482	0.5289294734
483	0.528846867
484	0.528709541
485	0.5286336269
486	0.5285678856
487	0.5284731585
488	0.5283827422
489	0.5282233843
490	0.5280815135
491	0.5278781909
492	0.5277622073
493	0.5276580618
494	0.5274713134
495	0.5273021477
496	0.5272274231
497	0.527112546
498	0.5270185716
499	0.5268541718
500	0.5267138127
501	0.5266001176
502	0.5265326251
503	0.5264644441
504	0.5263677057
505	0.5262656817
506	0.5261070587
507	0.5258613875
508	0.5257793274
509	0.5257144848
510	0.5256029904
511	0.5254972752
512	0.525380309
513	0.5252712161
514	0.525154735
515	0.5250613908
516	0.5249776004
517	0.5248909055
518	0.5247873595
519	0.5246965966
520	0.5245323018
521	0.5243721277
522	0.5242394586
523	0.5241103774
524	0.5239974132
525	0.523875507
526	0.5237976426
527	0.5235323473
528	0.5234638297
529	0.5234070044
530	0.5233401286
531	0.5231743874
532	0.5229373526
533	0.5228280049
534	0.5226787647
535	0.5226078556
536	0.5225381013
537	0.5224595738
538	0.5223438903
539	0.5222477881
540	0.5220071158
541	0.5217872342
542	0.5216204804
543	0.5215100266
544	0.5212858117
545	0.5211901638
546	0.5211262394
547	0.5209606099
548	0.520851318
549	0.5206417879
550	0.5205652157
551	0.5204240507
552	0.5202592092
553	0.5201158751
554	0.5199651087
555	0.5197935831
556	0.5196915551
557	0.5195282802
558	0.519449712
559	0.5193366496
560	0.5192477732
561	0.5191720813
562	0.5189790337
563	0.518801999
564	0.5186380347
565	0.518526691
566	0.5183138887
567	0.5182303268
568	0.5181117596
569	0.5179469705
570	0.5178112368
571	0.5176619682
572	0.5175367214
573	0.5173951857
574	0.5171745501
575	0.5169813834
576	0.516835183
577	0.516770377
578	0.5166618118
579	0.5166149095
580	0.5165545247
581	0.5164315558
582	0.516261207
583	0.5161025466
584	0.5159643501
585	0.5157918116
586	0.5157337066
587	0.5156859493
588	0.5155744666
589	0.5153702645
590	0.5153187318
591	0.5152376349
592	0.5150705015
593	0.5149402373
594	0.5148274282
595	0.5146893082
596	0.5145681069
597	0.514385638
598	0.5142301681
599	0.5141433186
600	0.5140750525
601	0.5139643799
602	0.5138277783
603	0.5137634831
604	0.5135754621
605	0.5134972977
606	0.5133352322
607	0.5131752129
608	0.5131082171
609	0.5130439948
610	0.5129275612
611	0.5128289686
612	0.5127171048
613	0.5125760816
614	0.5124012815
615	0.5121583934
616	0.5120146237
617	0.5119147424
618	0.5118566548
619	0.5117656628
620	0.5116306063
621	0.5115569276
622	0.5114371735
623	0.5112886788
624	0.5111584384
625	0.5110674894
626	0.5109649523
627	0.5108806209
628	0.5107793859
629	0.5107226313
630	0.5106166285
631	0.5103805245
632	0.5103011968
633	0.5102381137
634	0.5100886966
635	0.50996363
636	0.5099168759
637	0.5098181987
638	0.509642617
639	0.5095725237
640	0.5094428807
641	0.509401052
642	0.5092273914
643	0.5091581731
644	0.5090468987
645	0.5089507075
646	0.508799558
647	0.5087242172
648	0.5085573924
649	0.5084939714
650	0.5083981946
651	0.5082482609
652	0.5081811926
653	0.5081383274
654	0.5080831884
655	0.5079783808
656	0.5078977398
657	0.5076597217
658	0.5074932325
659	0.5074150378
660	0.5072423626
661	0.50712595
662	0.5070670517
663	0.5069350688
664	0.5068671513
665	0.5067606178
666	0.5066588455
667	0.5065094034
668	0.5063611492
669	0.5061462198
670	0.5060857656
671	0.5060280992
672	0.5059580714
673	0.5057939935
674	0.5057030527
675	0.5056478095
676	0.5055573943
677	0.5054562512
678	0.5053914394
679	0.5053307254
680	0.5052009855
681	0.5050584653
682	0.5049987278
683	0.5049429995
684	0.5048634763
685	0.5047980399
686	0.5047376089
687	0.5046430989
688	0.5045479542
689	0.5044385872
690	0.5043925094
691	0.5043399967
692	0.5042365142
693	0.5041841
694	0.5040745482
