iter	Passed	Remaining
0	74	259944
1	135	236927
2	180	210048
3	224	195984
4	269	188054
5	307	179147
6	345	172275
7	391	170991
8	430	167046
9	467	163242
10	505	160262
11	541	157400
12	578	155220
13	615	153366
14	651	151331
15	688	149844
16	727	148960
17	765	148034
18	801	146774
19	837	145686
20	878	145478
21	923	145978
22	972	146978
23	1010	146357
24	1048	145678
25	1084	144853
26	1126	144940
27	1164	144372
28	1203	144016
29	1248	144455
30	1291	144489
31	1327	143901
32	1363	143234
33	1399	142694
34	1435	142087
35	1471	141604
36	1510	141415
37	1547	141010
38	1583	140534
39	1621	140244
40	1697	143208
41	1740	143308
42	1781	143196
43	1819	142911
44	1860	142834
45	1898	142559
46	1938	142421
47	1974	142031
48	2012	141711
49	2048	141373
50	2088	141212
51	2127	141068
52	2162	140668
53	2199	140329
54	2238	140185
55	2275	139954
56	2312	139709
57	2377	141120
58	2416	140937
59	2454	140713
60	2491	140460
61	2530	140305
62	2566	140008
63	2604	139819
64	2643	139677
65	2678	139358
66	2714	139095
67	2750	138818
68	2787	138612
69	2822	138303
70	2861	138210
71	2899	138055
72	2933	137698
73	2969	137482
74	3004	137223
75	3041	137011
76	3076	136743
77	3111	136513
78	3150	136420
79	3187	136256
80	3220	135943
81	3256	135736
82	3294	135629
83	3335	135624
84	3370	135404
85	3404	135167
86	3440	134989
87	3473	134667
88	3510	134548
89	3547	134419
90	3587	134374
91	3622	134179
92	3656	133969
93	3693	133845
94	3729	133682
95	3766	133552
96	3808	133616
97	3849	133636
98	3885	133473
99	3920	133294
100	3957	133190
101	3994	133085
102	4031	132952
103	4068	132856
104	4104	132713
105	4143	132663
106	4177	132469
107	4215	132389
108	4252	132303
109	4285	132081
110	4321	131929
111	4356	131786
112	4391	131642
113	4429	131556
114	4463	131392
115	4500	131304
116	4543	131372
117	4581	131311
118	4617	131181
119	4660	131262
120	4707	131459
121	4753	131628
122	4797	131714
123	4842	131829
124	4890	132053
125	4925	131907
126	4964	131839
127	5000	131722
128	5043	131792
129	5078	131652
130	5114	131534
131	5157	131593
132	5192	131442
133	5226	131281
134	5264	131231
135	5301	131145
136	5338	131053
137	5376	130989
138	5412	130877
139	5450	130819
140	5486	130698
141	5522	130594
142	5558	130499
143	5599	130499
144	5634	130371
145	5671	130281
146	5706	130170
147	5742	130049
148	5777	129926
149	5811	129797
150	5849	129737
151	5888	129695
152	5925	129631
153	5969	129702
154	6007	129635
155	6048	129645
156	6086	129605
157	6123	129513
158	6157	129383
159	6195	129335
160	6234	129288
161	6270	129206
162	6306	129103
163	6342	129007
164	6386	129084
165	6422	128983
166	6464	129014
167	6500	128924
168	6536	128842
169	6572	128734
170	6611	128712
171	6650	128669
172	6687	128603
173	6724	128531
174	6762	128482
175	6799	128410
176	6837	128367
177	6876	128332
178	6912	128248
179	6949	128179
180	6987	128123
181	7027	128124
182	7072	128191
183	7120	128317
184	7163	128359
185	7205	128387
186	7251	128478
187	7298	128576
188	7342	128633
189	7385	128660
190	7431	128745
191	7477	128822
192	7520	128853
193	7558	128799
194	7595	128730
195	7632	128661
196	7669	128582
197	7706	128526
198	7746	128499
199	7783	128422
200	7825	128434
201	7864	128404
202	7902	128347
203	7943	128336
204	7982	128311
205	8024	128315
206	8064	128290
207	8099	128188
208	8138	128153
209	8178	128130
210	8214	128044
211	8251	127979
212	8292	127972
213	8332	127949
214	8377	127995
215	8414	127937
216	8452	127873
217	8488	127788
218	8527	127754
219	8561	127646
220	8597	127560
221	8634	127500
222	8673	127461
223	8711	127410
224	8750	127370
225	8789	127332
226	8828	127294
227	8865	127225
228	8901	127144
229	8934	127030
230	8967	126909
231	9002	126815
232	9040	126756
233	9075	126665
234	9118	126690
235	9159	126680
236	9200	126667
237	9238	126622
238	9280	126629
239	9316	126551
240	9357	126537
241	9394	126480
242	9433	126434
243	9473	126412
244	9511	126369
245	9545	126264
246	9579	126163
